county,fips,totalpop
Hancock,19,10888
Hardin,19,17127
Harrison,19,14143
Henry,19,19926
Howard,19,9264
Humboldt,19,9566
Ida,19,6916
Iowa,19,16207
Jackson,19,19395
Jasper,19,36891
Jefferson,19,18077
Johnson,19,147001
Jones,19,20568
Keokuk,19,10200
Kossuth,19,15075
Lee,19,34541
Linn,19,222121
Louisa,19,11223
Lucas,19,8597
Lyon,19,11769
Madison,19,15890
Mahaska,19,22208
Marion,19,33207
Marshall,19,40271
Mills,19,14957
Mitchell,19,10631
Monona,19,8796
Monroe,19,7863
Montgomery,19,10155
Muscatine,19,42950
O'Brien,19,13911
Osceola,19,6115
Page,19,15363
Palo Alto,19,9055
Plymouth,19,25039
Pocahontas,19,6898
Polk,19,474274
Pottawattamie,19,93503
Poweshiek,19,18605
Ringgold,19,4984
Sac,19,9868
Scott,19,172288
Shelby,19,11694
Sioux,19,34825
Story,19,96922
Tama,19,17136
Taylor,19,6201
Union,19,12453
Van Buren,19,7223
Wapello,19,35315
Warren,19,49361
Washington,19,22143
Wayne,19,6413
Webster,19,36757
Winnebago,19,10571
Winneshiek,19,20401
Woodbury,19,102398
Worth,19,7489
Wright,19,12804
Allen,20,12630
Anderson,20,7852
Atchison,20,16363
Barber,20,4733
Barton,20,26791
Bourbon,20,14702
Brown,20,9664
Butler,20,66468
Chase,20,2645
Chautauqua,20,3367
Cherokee,20,20331
Cheyenne,20,2677
Clark,20,2053
Clay,20,8142
Cloud,20,9060
Coffey,20,8296
Comanche,20,1780
Cowley,20,35591
Crawford,20,39108
Decatur,20,2881
Dickinson,20,19004
Doniphan,20,7736
Douglas,20,119319
Edwards,20,2925
Elk,20,2562
Ellis,20,28878
Ellsworth,20,6293
Finney,20,36957
Ford,20,34484
Franklin,20,25563
Geary,20,34895
Gove,20,2619
Graham,20,2545
Grant,20,7616
Gray,20,6037
Greeley,20,1200
Greenwood,20,6156
Hamilton,20,2616
Harper,20,5673
Harvey,20,34555
Haskell,20,4047
Hodgeman,20,1842
Jackson,20,13318
Jefferson,20,18888
Jewell,20,2916
